episode,timestep,reward
1101,1363500,152.1652
1105,1368000,99.3316
1108,1372500,160.4142
1111,1377000,159.1082
1114,1381500,169.7418
1117,1386000,163.0843
1120,1390500,156.7711
1123,1395000,159.957
1127,1399500,118.7214
1131,1404000,59.7637
1134,1408500,80.3979
1138,1413000,99.0264
1141,1417500,164.6267
1144,1422000,168.7951
1147,1426500,166.2984
1150,1431000,151.8125
1153,1435500,129.0523
1156,1440000,167.6943
1159,1444500,171.9623
1164,1449000,52.9801
1167,1453500,151.4981
1172,1458000,41.8785
1176,1462500,101.0951
1179,1467000,173.9868
1182,1471500,167.2801
1185,1476000,160.3009
1189,1480500,88.2031
1192,1485000,154.3983
1195,1489500,159.9392
1198,1494000,75.238
1201,1498500,167.9692
1204,1503000,149.7661
1208,1507500,96.4809
1212,1512000,96.3172
1215,1516500,170.1797
1218,1521000,157.7417
1222,1525500,97.6606
1225,1530000,155.501
1228,1534500,160.2993
1232,1539000,111.2446
1235,1543500,170.7099
1238,1548000,127.0374
1241,1552500,164.1487
1244,1557000,165.5921
1247,1561500,149.2817
1250,1566000,171.9652
1253,1570500,164.2938
1256,1575000,167.4405
1259,1579500,94.9895
1263,1584000,127.2475
1266,1588500,166.6366
1269,1593000,156.3333
1273,1597500,60.1697
1276,1602000,168.9943
1279,1606500,162.537
1282,1611000,172.7389
1285,1615500,165.0172
1289,1620000,111.5024
1292,1624500,80.3862
1296,1629000,90.2398
1300,1633500,98.9058
1303,1638000,156.2374
1306,1642500,158.3043
1310,1647000,117.9544
1314,1651500,74.4593
1317,1656000,134.1656
1320,1660500,100.7932
1323,1665000,173.9298
1326,1669500,162.1421
1329,1674000,157.2028
1333,1678500,116.6367
1336,1683000,88.1219
1340,1687500,113.6775
1343,1692000,128.8578
1346,1696500,119.7289
1349,1701000,163.3654
1354,1705500,52.1025
1357,1710000,80.308
1360,1714500,173.3438
1363,1719000,175.5923
1367,1723500,105.4679
1371,1728000,114.1375
1374,1732500,168.0214
1377,1737000,101.5884
1382,1741500,81.2205
1386,1746000,117.4142
1389,1750500,90.3174
1394,1755000,80.3079
1397,1759500,132.6596
1400,1764000,172.9321
1403,1768500,152.4107
1406,1773000,171.7664
1410,1777500,90.9912
1413,1782000,116.3516
1416,1786500,132.4031
1419,1791000,159.8859
1422,1795500,105.9781
1426,1800000,94.0468
1429,1804500,172.4758
1433,1809000,105.8701
1436,1813500,136.4123
1439,1818000,167.1383
1442,1822500,168.9158
1445,1827000,178.0405
1449,1831500,70.3194
1452,1836000,171.2373
1455,1840500,167.0601
1459,1845000,29.0065
1462,1849500,170.0062
1467,1854000,77.9557
1470,1858500,177.1879
1473,1863000,131.7032
1476,1867500,166.0066
1481,1872000,33.7294
1485,1876500,109.6396
1488,1881000,128.2056
1491,1885500,110.5937
1494,1890000,174.774
1498,1894500,121.2804
1501,1899000,178.8117
1504,1903500,177.4319
1507,1908000,107.0491
1510,1912500,165.8151
1513,1917000,176.365
1517,1921500,110.5595
1522,1926000,49.2802
1526,1930500,105.1557
1529,1935000,105.992
1532,1939500,170.0332
1535,1944000,174.6526
1538,1948500,129.8541
1543,1953000,86.1877
1547,1957500,107.0863
1550,1962000,167.8698
1553,1966500,163.5295
1556,1971000,172.7355
1559,1975500,178.8471
1562,1980000,98.5331
1567,1984500,69.7233
1570,1989000,173.3142
1576,1993500,30.4931
1579,1998000,185.2807
1582,2002500,165.4621
1585,2007000,129.1363
1590,2011500,8.6974
1594,2016000,66.1607
1600,2020500,-8.7786
1603,2025000,176.091
1606,2029500,167.8855
1609,2034000,104.8046
1614,2038500,95.9691
1617,2043000,170.94
1620,2047500,72.1718
1623,2052000,136.1989
1626,2056500,171.7259
1629,2061000,125.309
1633,2065500,82.3161
1637,2070000,125.6389
1641,2074500,111.0122
1644,2079000,156.9456
1647,2083500,169.9056
1650,2088000,168.4328
1653,2092500,163.5642
1656,2097000,97.5328
1660,2101500,116.5849
1663,2106000,134.2447
1667,2110500,123.9391
1670,2115000,80.8076
1673,2119500,171.1536
1676,2124000,167.3135
1680,2128500,87.4972
1683,2133000,169.1472
1688,2137500,36.4251
1691,2142000,170.8881
